,none,uniform,real
fn_heavy,-0.0553,-0.037,-0.0363
fp_heavy,-0.0313,-0.0196,-0.0205
mid,-0.0384,-0.0225,-0.0247
symmetric,-0.0286,-0.0177,-0.0222
