profile,0.05,0.1,0.15,0.2,0.25,0.3
fn_heavy,0.7199,0.4404,0.1827,0.0555,0.0099,0.0
fp_heavy,0.9381,0.8682,0.8044,0.7394,0.6688,0.6013
mid,0.8729,0.7479,0.6141,0.4877,0.365,0.2326
symmetric,0.9533,0.9017,0.8495,0.8007,0.753,0.6991
