project,seed,condition,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,7,BSZZ,0.15261081444690988,0.577088136745475,0.004349781924136379,0.5054240128883946
ant-ivy,7,BSZZ_fp_repaired,0.17582357002657137,0.5942161297364927,-0.015693541893873137,0.4468249266166787
ant-ivy,7,BSZZ_fn_repaired,0.11765044969545677,0.5567698910177701,-0.00990557047860894,0.48654381975198335
ant-ivy,7,oracle,0.19285313417003003,0.605813394658054,-0.06502021996779872,0.38198950176061414
ant-ivy,13,BSZZ,0.1623206166077603,0.5834613296696375,-0.0024288606600655132,0.49658803114936306
ant-ivy,13,BSZZ_fp_repaired,0.17899553299582577,0.5989234849674244,-0.01779941542372963,0.44654344350461406
ant-ivy,13,BSZZ_fn_repaired,0.1391414719286157,0.5688261195308699,0.005435231524669976,0.5063537965918986
ant-ivy,13,oracle,0.18331209803895696,0.5912842167382075,-0.06734085597736737,0.3327205539131562
ant-ivy,21,BSZZ,0.12978377885440562,0.5646988059055583,-0.0045388178085104414,0.49423180928677385
ant-ivy,21,BSZZ_fp_repaired,0.1944277262943179,0.6048948590061911,0.03746479366523359,0.523583374955365
ant-ivy,21,BSZZ_fn_repaired,0.16354706267602637,0.5861656254822891,-0.004189966563242578,0.4947694546178455
ant-ivy,21,oracle,0.20481808187500955,0.6166551593030241,0.022079526361570918,0.5254934826687181
commons-bcel,7,BSZZ,0.17936243539566982,0.6180924976336486,-0.03742985500588571,0.45996798413356343
commons-bcel,7,BSZZ_fp_repaired,0.172971112263283,0.5985972228347316,0.1969732546062865,0.7009077489985657
commons-bcel,7,BSZZ_fn_repaired,0.08108551022888559,0.5558948125891237,-0.04816580703214068,0.4482669828822243
commons-bcel,7,oracle,0.08791735289392415,0.5524590134594181,0.15477889120664487,0.6581675974895866
commons-bcel,13,BSZZ,0.140563033369301,0.5873213013009715,-0.016831085897104955,0.481849127299748
commons-bcel,13,BSZZ_fp_repaired,0.17119520295071006,0.5971188166084739,0.19350022527088126,0.6977755329943146
commons-bcel,13,BSZZ_fn_repaired,0.13758100879383536,0.5888065960569921,-0.0650658192482057,0.4298128030020001
commons-bcel,13,oracle,0.08715605076032527,0.5262454452305445,-0.00027058483154010986,0.4997040366815891
commons-bcel,21,BSZZ,0.17742008846124538,0.6127348908256414,-0.048253870452761964,0.44760893324921336
commons-bcel,21,BSZZ_fp_repaired,0.17703550852609526,0.6041250956545956,0.15908463751617039,0.662872384525213
commons-bcel,21,BSZZ_fn_repaired,0.14039063530939885,0.585698972580343,0.036767400258512474,0.5203902558820596
commons-bcel,21,oracle,0.06368976148705122,0.4862709230885767,0.11980806471745166,0.6095084278235589
commons-beanutils,7,BSZZ,0.08439550935120113,0.5215686451419651,0.08140917964871436,0.6432768481335281
commons-beanutils,7,BSZZ_fp_repaired,0.10285098692321637,0.5415200620756639,0.06850296488655294,0.6012901272805558
commons-beanutils,7,BSZZ_fn_repaired,0.09845115003577992,0.5230251326496753,0.08678295062929298,0.6369615954586245
commons-beanutils,7,oracle,0.13139871858526384,0.578037415510869,0.10665126249669168,0.6827809305497907
commons-beanutils,13,BSZZ,0.07537830171016371,0.5257804228235435,0.061606196328557614,0.60856549053526
commons-beanutils,13,BSZZ_fp_repaired,0.1152768571158658,0.5461370583629283,0.07189167600459141,0.6048418676645823
commons-beanutils,13,BSZZ_fn_repaired,0.07359405532172007,0.5328843356850101,0.06729041661324993,0.6239766472844125
commons-beanutils,13,oracle,0.11479983553010824,0.5458487108247758,0.0656650798631108,0.5982124473832242
commons-beanutils,21,BSZZ,0.01118491408309725,0.4169507212361472,0.03593013523430437,0.5650153087601132
commons-beanutils,21,BSZZ_fp_repaired,0.08995996182831495,0.527726200408941,0.05850565474799786,0.5841099424590726
commons-beanutils,21,BSZZ_fn_repaired,0.036600658744594054,0.4454136832118962,0.07374731428088689,0.6343556387550465
commons-beanutils,21,oracle,0.05338559911147312,0.470028529746925,-0.01764316883967975,0.3871712733802319
commons-codec,7,BSZZ,0.03764300217682465,0.523603397942868,0.11057808130896114,0.6609157136384032
commons-codec,7,BSZZ_fp_repaired,0.09449111880540274,0.5686007094701353,0.09412792169619941,0.6458853923718291
commons-codec,7,BSZZ_fn_repaired,0.00801634025465983,0.48338082963585555,-0.0880472408042824,0.28567937148961536
commons-codec,7,oracle,0.0885465271945051,0.5653869176420412,0.009966059015718983,0.44224051264325603
commons-codec,13,BSZZ,0.03769143998746257,0.5376111099271293,0.12712108917256618,0.6937633763299518
commons-codec,13,BSZZ_fp_repaired,0.0886661709345687,0.5606214223096068,0.11608962425108893,0.6781100324387618
commons-codec,13,BSZZ_fn_repaired,0.0022813191751804036,0.49010914539418854,0.0769727155221361,0.6186941228414033
commons-codec,13,oracle,0.0761072647266023,0.5519317861528596,0.012852868242884053,0.4895473791932471
commons-codec,21,BSZZ,0.034923486802884006,0.5242505847511595,0.07010640332244114,0.6083373781598977
commons-codec,21,BSZZ_fp_repaired,0.07837961089577838,0.5556517752210983,0.11492912148085874,0.6758853241336952
commons-codec,21,BSZZ_fn_repaired,0.04141660124021751,0.5313432731019763,0.08887660668957374,0.6372459892410539
commons-codec,21,oracle,0.09112756235309925,0.5736869121641418,0.03715066238954681,0.5259421453694709
commons-collections,7,BSZZ,-0.019173549844865502,0.3422425832034969,-0.039154105735202935,0.4121571803950557
commons-collections,7,BSZZ_fp_repaired,0.04264158174804986,0.380964623559429,0.11306607560480979,0.6284266943698698
commons-collections,7,BSZZ_fn_repaired,0.01197672953973629,0.38085838048005927,0.12645419276082315,0.6691764251420763
commons-collections,7,oracle,0.05696643953263344,0.4091807143802576,0.13959689078537726,0.6978323027536363
commons-collections,13,BSZZ,0.027045534112815125,0.3947160299183673,0.012834275770590826,0.5108210292681427
commons-collections,13,BSZZ_fp_repaired,0.04870107425619774,0.39351747374632634,0.11599104494795553,0.6306633605454394
commons-collections,13,BSZZ_fn_repaired,0.006640357357389775,0.40164487453196834,0.054261847034516315,0.5803838212200304
commons-collections,13,oracle,0.059622306865029916,0.40579400346871924,0.029692363114553925,0.5428600296935664
commons-collections,21,BSZZ,-0.026518732150668703,0.32319620965928436,-0.040692237089105986,0.40984976555980146
commons-collections,21,BSZZ_fp_repaired,0.042511095911668795,0.38126633144468025,0.11269256744312271,0.6281578793999878
commons-collections,21,BSZZ_fn_repaired,-0.010400441291653614,0.3728859834743564,-0.010323794924658307,0.4809103462479819
