family,A,B,n,mean_A,mean_B,hodges_lehmann,ci_low,ci_high,rank_biserial,n_favouring_A,p,p_holm,p_holm_global
vs_BSZZ_anchor,BSZZ_at_window,BSZZ,21,0.10282567786764292,0.05775406930918288,0.04436427192325868,0.028356628746318936,0.06129099266395098,0.9307359307359307,19,2.384185791015625e-05,0.00030994415283203125,0.0004291534423828125
vs_BSZZ_anchor,BSZZ_immediate,BSZZ,21,0.0717164214169827,0.05775406930918288,0.013998935575338472,-0.0005543486599351374,0.03341568476259429,0.43722943722943725,14,0.08219528198242188,0.8219528198242188,1.0
vs_BSZZ_anchor,fn_repair_at_window,BSZZ,21,0.09763349817725896,0.05775406930918288,0.03783199783623349,0.0229316417377289,0.05412927609228861,0.9134199134199135,18,4.100799560546875e-05,0.000492095947265625,0.0006971359252929688
vs_BSZZ_anchor,fn_repair_frac_0.25,BSZZ,21,0.06025758248084367,0.05775406930918288,0.0010982127503440242,-0.004463698179061032,0.007507546796138687,0.10822510822510822,12,0.682713508605957,1.0,1.0
vs_BSZZ_anchor,fn_repair_frac_0.50,BSZZ,21,0.06085623997050643,0.05775406930918288,0.0018460368283518447,-0.0036336805708689734,0.010130030307654275,0.16017316017316016,13,0.539189338684082,1.0,1.0
vs_BSZZ_anchor,fn_repair_frac_0.75,BSZZ,21,0.058183079563747485,0.05775406930918288,-0.0013023612219474276,-0.008729058298207457,0.008547367995876815,-0.08225108225108226,10,0.7592878341674805,1.0,1.0
vs_BSZZ_anchor,fn_repair_frac_1.00,BSZZ,21,0.058420625021185286,0.05775406930918288,-0.0012242859508399713,-0.008907583049992581,0.008026027695024378,-0.08225108225108226,8,0.7592878341674805,1.0,1.0
vs_BSZZ_anchor,fn_repair_immediate,BSZZ,21,0.07567735395773094,0.05775406930918288,0.017060262049508355,-0.002262642934585165,0.03790286082060599,0.4025974025974026,14,0.11105823516845703,0.9995241165161133,1.0
vs_BSZZ_anchor,fp_repair_frac_0.25,BSZZ,21,0.05996384672046412,0.05775406930918288,0.002925520056559123,-0.002642127069685772,0.00829158304375277,0.29004329004329005,12,0.2572479248046875,1.0,1.0
vs_BSZZ_anchor,fp_repair_frac_0.50,BSZZ,21,0.06345109974992916,0.05775406930918288,0.004654764924796086,-0.006318651543141547,0.015351312927545071,0.21212121212121213,12,0.41198158264160156,1.0,1.0
vs_BSZZ_anchor,fp_repair_frac_0.75,BSZZ,21,0.06914991596906901,0.05775406930918288,0.009931658930538042,-0.004210895918149524,0.02588502744379563,0.2987012987012987,12,0.2428417205810547,1.0,1.0
vs_BSZZ_anchor,fp_repair_frac_1.00,BSZZ,21,0.0962493351485395,0.05775406930918288,0.04021629474544788,0.02165608074120932,0.051951848721093895,0.8441558441558441,17,0.00024127960205078125,0.0026540756225585938,0.0038604736328125
vs_BSZZ_anchor,fp_repair_matched,BSZZ,21,0.05940131731368729,0.05775406930918288,0.002379412175297531,-0.0044506777962265084,0.008949412253707437,0.16883116883116883,11,0.5167608261108398,1.0,1.0
error_matched,fp_repair_matched,fn_repair_frac_1.00,21,0.05940131731368729,0.058420625021185286,0.004993783474287736,-0.00926928421026469,0.01757870045522508,0.20346320346320346,14,0.4319114685058594,0.8638229370117188,1.0
error_matched,fp_repair_matched,BSZZ,21,0.05940131731368729,0.05775406930918288,0.002379412175297531,-0.0044506777962265084,0.008949412253707437,0.16883116883116883,11,0.5167608261108398,0.8638229370117188,1.0
delivery_ceiling,fn_repair_immediate,BSZZ_immediate,21,0.07567735395773094,0.0717164214169827,0.0036975053663881943,-0.00323759611196707,0.010555025042622374,0.29004329004329005,12,0.2572479248046875,0.514495849609375,1.0
delivery_ceiling,fn_repair_at_window,BSZZ_at_window,21,0.09763349817725896,0.10282567786764292,-0.0016219213161145496,-0.007250107078490178,0.0042611584174451385,-0.20346320346320346,6,0.4319114685058594,0.514495849609375,1.0
delivery_ceiling,BSZZ_immediate,BSZZ,21,0.0717164214169827,0.05775406930918288,0.013998935575338472,-0.0005543486599351374,0.03341568476259429,0.43722943722943725,14,0.08219528198242188,0.24658584594726562,1.0
