project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean,mean_boost_pos_labels,mean_lam_pos_labels,mean_boost_neg_labels,fp_label_rate,fn_label_rate,final_ma_pred
ant-ivy,7,symmetric,0.05,uniform,332,384,316,0.17561647587082077,0.5809758111536315,0.05284775530878968,0.5192561929085684,4.472252405422211,12.79789007717187,5.3679856977901865,0.038396386222473176,0.009034443817052512,0.002467769435846722
ant-ivy,7,symmetric,0.05,real,332,384,316,0.1453524184372772,0.5722359035163653,-0.08282093317641805,0.36410013432390004,3.759994976771175,14.369005725882515,4.929024797819438,0.038396386222473176,0.009034443817052512,0.05492613646909448
ant-ivy,7,symmetric,0.1,uniform,332,434,294,0.20552908486162147,0.604467059749327,0.0003897197331376063,0.4828327098123401,4.883827199110143,12.289636213110269,5.076269501564845,0.07905138339920949,0.021456804065499716,0.15997466240438407
ant-ivy,7,symmetric,0.1,real,332,434,294,0.1581255880946061,0.5869569006561208,-0.03693798027183234,0.4456458979549352,3.4378212301123425,11.677476802111393,4.979382038054186,0.07905138339920949,0.021456804065499716,0.15385582820174
ant-ivy,7,symmetric,0.15,uniform,332,494,279,0.1411096366687618,0.5620972122862385,-0.055770248906069436,0.427011822549848,4.409201140748275,10.119774611370543,4.714062235243476,0.12140033879164314,0.029926595143986448,0.15999982823308512
ant-ivy,7,symmetric,0.15,real,332,494,279,0.10125720487111171,0.5485039893528437,-0.09817935153315174,0.3566979429929855,3.6928486192030046,11.451180646414304,5.288562425644382,0.12140033879164314,0.029926595143986448,0.04085777112639391
ant-ivy,7,symmetric,0.2,uniform,332,552,261,0.0930920385152857,0.535657493667531,-0.048581921186665,0.4340738916408605,4.459507903515514,8.957171302486085,4.9596499348776115,0.16431394692264256,0.04009034443817053,0.05785582821644425
ant-ivy,7,symmetric,0.2,real,332,552,261,0.03951985643636128,0.5094247568307051,-0.0967100967157654,0.37591488697488723,3.328329403217845,9.145179244503785,5.189746738929675,0.16431394692264256,0.04009034443817053,0.39368836212677255
ant-ivy,7,symmetric,0.25,uniform,332,603,246,0.08067957470988556,0.5274303348466884,-0.005247077801686293,0.4930192873708192,4.446294384476509,8.280699463645945,4.580462003608865,0.2015810276679842,0.048560135516657256,0.05785582820175871
ant-ivy,7,symmetric,0.25,real,332,603,246,0.09868285275778811,0.5526234676891957,-0.012931361985749845,0.4838446401484216,3.363541981484001,8.350197039492224,5.379822984606925,0.2015810276679842,0.048560135516657256,0.05785582820175762
ant-ivy,7,symmetric,0.3,uniform,332,666,229,0.08447317482273925,0.5325688944600837,0.05035172308335635,0.556701925320821,4.297987504023605,7.058097643694827,4.850981470439912,0.24675324675324675,0.05815923207227555,0.05784577216427972
ant-ivy,7,symmetric,0.3,real,332,666,229,0.07283234443921721,0.5247669774914424,-0.10454762506785074,0.3483148281070513,3.779986685122367,8.417628505661487,5.1299819102320745,0.24675324675324675,0.05815923207227555,0.38978936410949583
ant-ivy,7,fp_heavy,0.05,uniform,332,372,307,0.16125913221103189,0.570477662729914,0.040600532616128844,0.4974330841243689,5.061463951040921,14.625751059181589,5.043293038296144,0.03670242800677583,0.014116318464144552,0.008601703106281078
ant-ivy,7,fp_heavy,0.05,real,332,372,307,0.15996008609898674,0.5848170658017495,-0.07069104518818113,0.3849161147008646,3.875158317861254,15.518615617208551,4.537220801464255,0.03670242800677583,0.014116318464144552,0.022679558553646045
ant-ivy,7,fp_heavy,0.1,uniform,332,420,285,0.16352282702728257,0.5757466240396364,-0.035754365147173624,0.4306843417981983,4.752409185962724,12.995568402146997,4.389498969952833,0.07622811970638058,0.026538678712591756,0.159974662404384
ant-ivy,7,fp_heavy,0.1,real,332,420,285,0.1475026442674845,0.5840531111398856,0.022510844142493304,0.5279881554624632,3.2966309782426437,11.77590525503342,4.535895346638321,0.07622811970638058,0.026538678712591756,0.7026951532710298
ant-ivy,7,fp_heavy,0.15,uniform,332,468,263,0.11283349851199573,0.5454061632993409,-0.016275597904742454,0.4498836450508071,4.027942134049127,9.803747150122433,5.005128039869701,0.11575381140598531,0.03896103896103896,0.15385582822833696
ant-ivy,7,fp_heavy,0.15,real,332,468,263,0.08845943076512376,0.5349928985021206,-0.053378780416414195,0.4267846127504512,3.3990138170928907,11.40962518384962,4.971318691394619,0.11575381140598531,0.03896103896103896,0.9575392321536
ant-ivy,7,fp_heavy,0.2,uniform,332,508,245,0.07908214148281797,0.5240525968525745,0.004514233130480533,0.5055118772022653,4.549837869725575,10.423520559532813,4.852889022524064,0.14850367024280067,0.04912478825522304,0.03977879593221122
ant-ivy,7,fp_heavy,0.2,real,332,508,245,0.10709228596714288,0.5551699654808433,0.014070702312005844,0.5171145436448306,3.698223141994484,10.942417338822048,4.873034285301118,0.14850367024280067,0.04912478825522304,0.1511678475245716
ant-ivy,7,fp_heavy,0.25,uniform,332,556,221,0.07576231678919744,0.5262466955278674,0.03599346916396886,0.5380309038129215,4.925216620696363,9.947675444563266,5.047989271220698,0.189158667419537,0.06267645398080181,0.05785583479952024
ant-ivy,7,fp_heavy,0.25,real,332,556,221,0.03955441178551871,0.5070358533099762,0.003179065854997304,0.501309378506952,3.2938811049203545,8.96491946880383,5.394588717873055,0.189158667419537,0.06267645398080181,0.8461693376222308
ant-ivy,7,fp_heavy,0.3,uniform,332,609,205,0.03768820803102501,0.5066085908966359,0.035131623497646924,0.5412013571025402,4.097487597685071,7.408933395715857,5.154745606653791,0.22811970638057594,0.07171089779785432,0.05784576187215871
ant-ivy,7,fp_heavy,0.3,real,332,609,205,0.06386938726529093,0.5229469777444601,-0.03872898318742657,0.4479901890039904,3.66545678982108,9.024192727027897,5.473146573171885,0.22811970638057594,0.07171089779785432,0.15384576187170826
ant-ivy,7,mid,0.05,uniform,332,341,289,0.20061427236299062,0.598269156187319,0.009921689677604833,0.4958236232872054,4.558623253834467,15.149570276623008,4.700988411944869,0.029361942405420668,0.024280067758328628,0.15997466237730829
ant-ivy,7,mid,0.05,real,332,341,289,0.16048581067835083,0.585597309222877,-0.013069736847626136,0.47812673688987406,3.8551573420904544,16.81706345152663,4.869120683164323,0.029361942405420668,0.024280067758328628,0.1538558282013082
ant-ivy,7,mid,0.1,uniform,332,353,251,0.14736616192332652,0.5592794160254793,-0.009796616791802605,0.4130577382411504,4.27916836766979,13.735807893146667,5.014539270984606,0.05759457933370977,0.045736871823828344,0.0024677694358438878
ant-ivy,7,mid,0.1,real,332,353,251,0.1264060829102005,0.5650795069165959,-0.09920999440277213,0.36731657865673856,3.2928000362650867,13.924952100023575,5.024707530126169,0.05759457933370977,0.045736871823828344,0.15999982823265502
ant-ivy,7,mid,0.15,uniform,332,370,219,0.1282033575106385,0.5593816178313846,-0.0023906895934795113,0.4807186533558364,4.548131352563187,14.614759759996295,5.0891951356946645,0.08526256352343309,0.06380575945793338,0.15997466240438407
ant-ivy,7,mid,0.15,real,332,370,219,0.07348495995609808,0.5229679684383386,-0.12841858636859632,0.28695864747135735,3.4987244066502914,14.771890577946635,5.212089918920073,0.08526256352343309,0.06380575945793338,0.1599746624043369
ant-ivy,7,mid,0.2,uniform,332,393,184,0.07959430890506494,0.5304404634928366,-0.0207483854046759,0.47368699435218037,4.353634825480827,13.307998322537724,5.104360047540835,0.11801242236024845,0.08356860530773574,0.15999982822876155
ant-ivy,7,mid,0.2,real,332,393,184,0.09300345622717383,0.5457685167341637,-0.01247174432024059,0.4842950073098204,3.7812423681308394,15.529353136717605,4.933792971342675,0.11801242236024845,0.08356860530773574,0.30399997251220934
ant-ivy,7,mid,0.25,uniform,332,398,146,0.04833695859222514,0.5031580786055633,0.06502145692428687,0.5735308941773551,3.9788191085319093,11.8345507310165,5.460126593900835,0.1422924901185771,0.10502540937323546,1.5477235742981978e-07
