metric,A,B,n,mean_A,mean_B,hodges_lehmann,ci_low,ci_high,rank_biserial,n_favouring_A,p,p_holm,p_holm_global
mcc_avg,BSZZ_fp_repaired,BSZZ,21,0.09624933514853946,0.057754069309182844,0.040216294745447856,0.021656080741209303,0.05195184872109383,0.8441558441558441,17,0.00024127960205078125,0.000965118408203125,0.00193023681640625
mcc_avg,BSZZ_fn_repaired,BSZZ,21,0.05842062502118525,0.057754069309182844,-0.0012242859508399782,-0.008907583049992545,0.008026027695024375,-0.08225108225108226,8,0.7592878341674805,0.7592878341674805,1.0
mcc_avg,BSZZ_fn_repaired,BSZZ_fp_repaired,21,0.05842062502118525,0.09624933514853946,-0.0412577844068216,-0.057304119773720144,-0.01796830307742142,-0.7316017316017316,4,0.0021514892578125,0.0064544677734375,0.0150604248046875
mcc_avg,oracle,BSZZ,21,0.08354080215720616,0.057754069309182844,0.026972655577985973,0.008431487942995017,0.04591682031466941,0.6277056277056277,16,0.010125160217285156,0.020250320434570312,0.06075096130371094
mcc,BSZZ_fp_repaired,BSZZ,21,0.06711285607564094,0.05651409439467899,0.017310326493210876,-0.024719108863634848,0.04796418016996107,0.18614718614718614,12,0.47333431243896484,1.0,1.0
mcc,BSZZ_fn_repaired,BSZZ,21,0.05106306989075361,0.05651409439467899,-0.0014406851785955105,-0.02763778370999067,0.012348668057106577,-0.004329004329004329,12,1.0,1.0,1.0
mcc,BSZZ_fn_repaired,BSZZ_fp_repaired,21,0.05106306989075361,0.06711285607564094,-0.020648882328876978,-0.053841538574888305,0.02772386423245054,-0.18614718614718614,9,0.47333431243896484,1.0,1.0
mcc,oracle,BSZZ,21,0.06031083529695783,0.05651409439467899,-0.0024861814793142242,-0.027535164075164233,0.026399804070937803,-0.047619047619047616,11,0.8648872375488281,1.0,1.0
