,BSZZ,AGSZZ,MASZZ,LSZZ,RSZZ,RASZZ
BSZZ,1.0,0.6895529799277518,0.694596958402508,0.3297041963883204,0.42652460538213044,0.6299473197364224
AGSZZ,0.6895529799277518,1.0,0.9330682493006692,0.466931183823346,0.5866482756713891,0.8587425043272969
MASZZ,0.694596958402508,0.9330682493006692,1.0,0.47683333278752305,0.5958085595101166,0.8830010754572992
LSZZ,0.3297041963883204,0.466931183823346,0.47683333278752305,1.0,0.6360377475278878,0.47672052549969157
RSZZ,0.42652460538213044,0.5866482756713891,0.5958085595101166,0.6360377475278878,1.0,0.5655319045875714
RASZZ,0.6299473197364224,0.8587425043272969,0.8830010754572992,0.47672052549969157,0.5655319045875714,1.0
