variant,project,TP,FP,FN,TN,N,precision,recall,f1,gmean,fp_rate,fn_rate,mcc,kappa
BSZZ,ant-ivy,284,451,48,988,1771,0.38639455782312926,0.8554216867469879,0.5323336457357077,0.7663694843821057,0.3134120917303683,0.14457831325301204,0.42932172567157184,0.3694932353132132
BSZZ,commons-bcel,29,86,31,679,825,0.25217391304347825,0.48333333333333334,0.3314285714285714,0.6549792526109224,0.11241830065359477,0.5166666666666667,0.27810108501936365,0.26076967260195294
BSZZ,commons-beanutils,34,195,3,379,611,0.14847161572052403,0.918918918918919,0.2556390977443609,0.7789368595289833,0.3397212543554007,0.08108108108108109,0.2853870009670157,0.16899299354306907
BSZZ,commons-codec,29,241,7,484,761,0.10740740740740741,0.8055555555555556,0.1895424836601307,0.7333333333333334,0.33241379310344826,0.19444444444444445,0.20993696228264908,0.11572160842633972
BSZZ,commons-collections,35,589,15,1184,1823,0.05608974358974359,0.7,0.10385756676557864,0.6837077509989818,0.332205301748449,0.3,0.12660269428552337,0.05591176213364979
BSZZ,commons-compress,74,209,104,1243,1630,0.26148409893992935,0.4157303370786517,0.3210412147505423,0.5965654736215721,0.14393939393939395,0.5842696629213483,0.2237954612280943,0.21591499380649837
BSZZ,commons-configuration,106,491,49,1192,1838,0.17755443886097153,0.6838709677419355,0.28191489361702127,0.6959581952926491,0.2917409387997623,0.3161290322580645,0.23268315946381146,0.17090048834439053
BSZZ,commons-dbcp,53,458,5,521,1037,0.10371819960861056,0.9137931034482759,0.18629173989455183,0.6973510413477537,0.46782431052093976,0.08620689655172414,0.20497764073915534,0.0954186032929083
BSZZ,commons-digester,14,217,5,843,1079,0.06060606060606061,0.7368421052631579,0.112,0.7655050711149346,0.20471698113207548,0.2631578947368421,0.1706237888163865,0.08213141639716148
BSZZ,commons-io,59,305,14,764,1142,0.1620879120879121,0.8082191780821918,0.2700228832951945,0.7600154176312648,0.2853133769878391,0.1917808219178082,0.27449425050453174,0.18302348007445457
BSZZ,commons-jcs,77,310,11,433,831,0.19896640826873385,0.875,0.32421052631578945,0.7140910136487433,0.41722745625841184,0.125,0.2823829795916037,0.1832811308796649
BSZZ,commons-lang,0,0,146,2823,2969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BSZZ,commons-math,242,956,93,2735,4026,0.2020033388981636,0.7223880597014926,0.3157208088714938,0.7316307026364156,0.25900839880791116,0.27761194029850744,0.27993891945815613,0.2134255432561809
BSZZ,commons-net,49,139,68,865,1121,0.26063829787234044,0.4188034188034188,0.32131147540983607,0.6006843352232741,0.13844621513944222,0.5811965811965812,0.2294308216122902,0.22109139245350162
BSZZ,commons-scxml,34,143,13,354,544,0.192090395480226,0.723404255319149,0.3035714285714286,0.7178173747317336,0.28772635814889336,0.2765957446808511,0.2612600381173425,0.19344598832899318
BSZZ,commons-validator,17,229,19,333,598,0.06910569105691057,0.4722222222222222,0.12056737588652483,0.5289652828519406,0.40747330960854095,0.5277777777777778,0.03129774171420256,0.017359730725398204
BSZZ,commons-vfs,94,358,20,638,1110,0.2079646017699115,0.8245614035087719,0.33215547703180204,0.7267619328685728,0.35943775100401604,0.17543859649122806,0.28738781834012994,0.20111042566317083
BSZZ,giraph,68,130,95,551,844,0.3434343434343434,0.4171779141104294,0.3767313019390581,0.5809822947692216,0.19089574155653452,0.5828220858895705,0.21079914440169956,0.20919812106473
BSZZ,gora,27,102,12,412,553,0.20930232558139536,0.6923076923076923,0.32142857142857145,0.7449319939069899,0.19844357976653695,0.3076923076923077,0.29898097108689176,0.23900919823278055
BSZZ,opennlp,20,55,71,940,1086,0.26666666666666666,0.21978021978021978,0.24096385542168675,0.45566606678079946,0.05527638190954774,0.7802197802197802,0.17976372612840508,0.17878362320406183
BSZZ,parquet-mr,65,244,93,718,1120,0.21035598705501618,0.41139240506329117,0.278372591006424,0.5541187182211019,0.25363825363825365,0.5886075949367089,0.12285906604161513,0.11273260679461028
AGSZZ,ant-ivy,273,538,59,901,1771,0.3366214549938348,0.822289156626506,0.4776902887139108,0.7175369664396554,0.37387074357192496,0.17771084337349397,0.3512665801725901,0.2883811464789814
AGSZZ,commons-bcel,13,29,47,736,825,0.30952380952380953,0.21666666666666667,0.2549019607843137,0.456566708205268,0.03790849673202614,0.7833333333333333,0.21118677412244338,0.20743268866135756
AGSZZ,commons-beanutils,28,139,9,435,611,0.16766467065868262,0.7567567567567568,0.27450980392156865,0.7572980454206194,0.2421602787456446,0.24324324324324326,0.2754063167729395,0.19466362681011007
AGSZZ,commons-codec,14,89,22,636,761,0.13592233009708737,0.3888888888888889,0.2014388489208633,0.584079981926582,0.12275862068965518,0.6111111111111112,0.16515166868675335,0.14123196730477916
AGSZZ,commons-collections,20,302,30,1471,1823,0.062111801242236024,0.4,0.10752688172043011,0.5760788941394952,0.17033276931754088,0.6,0.09836036274826619,0.06303834936125674
AGSZZ,commons-compress,62,167,116,1285,1630,0.27074235807860264,0.34831460674157305,0.3046683046683047,0.5552059340861156,0.11501377410468319,0.651685393258427,0.20939812534044985,0.2072502173965347
AGSZZ,commons-configuration,73,250,82,1433,1838,0.2260061919504644,0.47096774193548385,0.3054393305439331,0.6332520701189157,0.14854426619132502,0.5290322580645161,0.23541112614048773,0.21609796077766397
AGSZZ,commons-dbcp,40,256,18,723,1037,0.13513513513513514,0.6896551724137931,0.22598870056497178,0.7136640194381566,0.26149131767109296,0.3103448275862069,0.21785141486775178,0.14612245388596046
AGSZZ,commons-digester,12,183,7,877,1079,0.06153846153846154,0.631578947368421,0.11214953271028039,0.7228708076606938,0.17264150943396225,0.3684210526315789,0.1568699585301337,0.0827128897161471
AGSZZ,commons-io,53,191,20,878,1142,0.21721311475409835,0.726027397260274,0.33438485804416407,0.7722090909007162,0.17867165575304023,0.273972602739726,0.32665317150692036,0.26173596004779565
AGSZZ,commons-jcs,13,38,75,705,831,0.2549019607843137,0.14772727272727273,0.18705035971223025,0.3743953892615478,0.05114401076716016,0.8522727272727273,0.12382411211483985,0.1185548140012953
AGSZZ,commons-lang,0,0,146,2823,2969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AGSZZ,commons-math,200,806,135,2885,4026,0.1988071570576541,0.5970149253731343,0.29828486204325133,0.6831144631301572,0.21836900568951503,0.40298507462686567,0.24156012489080594,0.1981821206447787
AGSZZ,commons-net,41,89,76,915,1121,0.3153846153846154,0.3504273504273504,0.33198380566801616,0.5651226162131571,0.08864541832669323,0.6495726495726496,0.24997176265318635,0.2495344204295099
AGSZZ,commons-scxml,9,21,38,476,544,0.3,0.19148936170212766,0.23376623376623376,0.4282502328217661,0.04225352112676056,0.8085106382978723,0.18367839362787147,0.17845807310330697
AGSZZ,commons-validator,12,122,24,440,598,0.08955223880597014,0.3333333333333333,0.1411764705882353,0.5108548878974642,0.21708185053380782,0.6666666666666666,0.06631419771211365,0.05112376646524375
AGSZZ,commons-vfs,33,79,81,917,1110,0.29464285714285715,0.2894736842105263,0.2920353982300885,0.5162493797666885,0.07931726907630522,0.7105263157894737,0.21181195294362135,0.21180167225861424
AGSZZ,giraph,12,32,151,649,844,0.2727272727272727,0.0736196319018405,0.11594202898550723,0.26487783210143956,0.04698972099853157,0.9263803680981595,0.04728961081072825,0.036866129555261806
AGSZZ,gora,6,33,33,481,553,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.37943230172895237,0.06420233463035019,0.8461538461538461,0.08964381921580365,0.08964381921580367
AGSZZ,opennlp,13,35,78,960,1086,0.2708333333333333,0.14285714285714285,0.1870503597122302,0.3712573463636809,0.035175879396984924,0.8571428571428571,0.14516204698448223,0.13711344555541494
AGSZZ,parquet-mr,34,114,124,848,1120,0.22972972972972974,0.21518987341772153,0.2222222222222222,0.4355332390844931,0.11850311850311851,0.7848101265822784,0.0993845953126495,0.0993134021733254
MASZZ,ant-ivy,272,532,60,907,1771,0.3383084577114428,0.8192771084337349,0.47887323943661975,0.7186023890660997,0.36970118137595553,0.18072289156626506,0.3524205510338628,0.2906414073071719
MASZZ,commons-bcel,16,35,44,730,825,0.3137254901960784,0.26666666666666666,0.2882882882882883,0.5044464599309021,0.0457516339869281,0.7333333333333333,0.23821880616184435,0.23731788660698616
MASZZ,commons-beanutils,28,155,9,419,611,0.15300546448087432,0.7567567567567568,0.2545454545454546,0.7432402468927437,0.2700348432055749,0.24324324324324326,0.2534488229654116,0.17103194956898682
MASZZ,commons-codec,15,88,21,637,761,0.14563106796116504,0.4166666666666667,0.2158273381294964,0.6050553313730807,0.12137931034482759,0.5833333333333334,0.1832455961083801,0.15670526519117955
MASZZ,commons-collections,26,380,24,1393,1823,0.06403940886699508,0.52,0.11403508771929825,0.6391795361347418,0.21432600112803157,0.48,0.1199913464171238,0.06854283864179045
MASZZ,commons-compress,61,178,117,1274,1630,0.25523012552301255,0.34269662921348315,0.29256594724220625,0.5483480736993033,0.12258953168044077,0.6573033707865169,0.1940728755672834,0.19134043920043864
MASZZ,commons-configuration,75,269,80,1414,1838,0.2180232558139535,0.4838709677419355,0.30060120240480964,0.6375987094654446,0.1598336304218657,0.5161290322580645,0.2308598674010347,0.20858163010997854
MASZZ,commons-dbcp,43,289,15,690,1037,0.12951807228915663,0.7413793103448276,0.2205128205128205,0.7228587301519048,0.29519918283963226,0.25862068965517243,0.21976167956667242,0.1384736471012631
MASZZ,commons-digester,11,186,8,874,1079,0.05583756345177665,0.5789473684210527,0.10185185185185183,0.6909113478341761,0.17547169811320754,0.42105263157894735,0.1373661351060153,0.07204603285781408
MASZZ,commons-io,51,211,22,858,1142,0.1946564885496183,0.6986301369863014,0.3044776119402985,0.7488217483418558,0.19738072965388212,0.3013698630136986,0.29161655360352157,0.22720856882300666
MASZZ,commons-jcs,13,59,75,684,831,0.18055555555555555,0.14772727272727273,0.1625,0.36877713335482604,0.07940780619111709,0.8522727272727273,0.07472967153160043,0.07427174780526746
MASZZ,commons-lang,71,495,75,2328,2969,0.1254416961130742,0.4863013698630137,0.19943820224719103,0.6332698261430009,0.17534537725823593,0.5136986301369864,0.17117711270490335,0.13153989211025452
MASZZ,commons-math,203,818,132,2873,4026,0.19882468168462292,0.6059701492537314,0.2994100294985251,0.6867859561425118,0.22162015713898672,0.3940298507462687,0.24399795891112322,0.1990469062356942
MASZZ,commons-net,45,97,72,907,1121,0.31690140845070425,0.38461538461538464,0.3474903474903476,0.5894542633080413,0.09661354581673307,0.6153846153846154,0.2647399788224711,0.2631626029224732
