variant,TP,FP,FN,TN,N,precision,recall,f1,gmean,fp_rate,fn_rate,mcc,kappa
BSZZ,1495,6565,837,18422,27319,0.18548387096774194,0.6410806174957119,0.2877213240954581,0.6874920079215011,0.2627366230439829,0.3589193825042882,0.23180552801765564,0.179012097770196
AGSZZ,1090,4786,1242,20201,27319,0.185500340367597,0.467409948542024,0.2655945419103314,0.6147214277096688,0.191539600592308,0.532590051457976,0.18760425650021936,0.1633387710230534
MASZZ,1124,5030,1208,19957,27319,0.18264543386415338,0.48198970840480276,0.26490690549139756,0.6204538058118929,0.20130467843278504,0.5180102915951973,0.18773822165952928,0.16103665071672635
LSZZ,622,1665,1710,23322,27319,0.2719720157411456,0.2667238421955403,0.26932236414808397,0.4989496891665348,0.06663465001800936,0.7332761578044596,0.20186643107240154,0.2018549999868854
RSZZ,699,2316,1633,22671,27319,0.23184079601990049,0.2997427101200686,0.2614550215073873,0.5214979371929491,0.0926881978628887,0.7002572898799314,0.1846390233590349,0.18278541358582423
RASZZ,1022,4531,1310,20456,27319,0.18404466054385016,0.43825042881646653,0.25922637920101455,0.5989829686936965,0.18133429383279306,0.5617495711835334,0.17838550501118688,0.15798990331559593
