project,seed,n_commits,defect_ratio,gmean,mcc
brackets,7,21347,0.37860120860074015,0.7019719476003615,0.3919697039276259
brackets,13,21347,0.37860120860074015,0.641011912149369,0.2846230866286139
brackets,21,21347,0.37860120860074015,0.7120448064577455,0.40991390938586786
brackets,42,21347,0.37860120860074015,0.7339505734572606,0.4527246105335897
brackets,77,21347,0.37860120860074015,0.7353610465876061,0.45608082885944135
brackets,101,21347,0.37860120860074015,0.7421607449429685,0.47103495260955713
brackets,123,21347,0.37860120860074015,0.6796235958425993,0.34698495665641166
brackets,202,21347,0.37860120860074015,0.7237015337668946,0.43367796527254693
brackets,314,21347,0.37860120860074015,0.7243741469539496,0.43468001277049234
brackets,999,21347,0.37860120860074015,0.7281856552414714,0.4414639128478137
broadleaf,7,17429,0.2895174708818636,0.621743299274718,0.15817012528364383
broadleaf,13,17429,0.2895174708818636,0.6511453269319372,0.19530253146897594
broadleaf,21,17429,0.2895174708818636,0.64169916396791,0.18520145618006234
broadleaf,42,17429,0.2895174708818636,0.6265058182212282,0.16701230358620817
broadleaf,77,17429,0.2895174708818636,0.5932553950836317,0.12953031745181828
broadleaf,101,17429,0.2895174708818636,0.6342222806521752,0.17444331685496883
broadleaf,123,17429,0.2895174708818636,0.650416599533508,0.1939865742733198
broadleaf,202,17429,0.2895174708818636,0.665671320197397,0.2137622561123835
broadleaf,314,17429,0.2895174708818636,0.6491341886951932,0.19394863272030496
broadleaf,999,17429,0.2895174708818636,0.6192927573682092,0.15726179767705933
camel,7,36753,0.33978178652082824,0.7081652267950511,0.2781914367077322
camel,13,36753,0.33978178652082824,0.7452028994452436,0.32895379970638805
camel,21,36753,0.33978178652082824,0.7099917510623045,0.2919815358447719
camel,42,36753,0.33978178652082824,0.6652402706040366,0.21429143655149138
camel,77,36753,0.33978178652082824,0.7209668297019872,0.2969991768217089
camel,101,36753,0.33978178652082824,0.7244193151083121,0.29840715962939696
camel,123,36753,0.33978178652082824,0.781233698935743,0.40345933755295904
camel,202,36753,0.33978178652082824,0.6847456881290951,0.24466000332619042
camel,314,36753,0.33978178652082824,0.6622821958911811,0.21095623446558015
camel,999,36753,0.33978178652082824,0.8069669845378346,0.477734811478256
fabric,7,15591,0.3320505419793471,0.7550224783867479,0.46551646490800563
fabric,13,15591,0.3320505419793471,0.7545821618776521,0.46447911307894013
fabric,21,15591,0.3320505419793471,0.760350183967113,0.4768802389094661
fabric,42,15591,0.3320505419793471,0.7479296505190774,0.450520569861421
fabric,77,15591,0.3320505419793471,0.7518215257461063,0.4586612653286986
fabric,101,15591,0.3320505419793471,0.7485575710711269,0.4518967143565724
fabric,123,15591,0.3320505419793471,0.7532469442819386,0.4616218431827435
fabric,202,15591,0.3320505419793471,0.7481562588961279,0.45137388363901304
fabric,314,15591,0.3320505419793471,0.7543460796013091,0.46428189472099973
fabric,999,15591,0.3320505419793471,0.7664056320705306,0.489765190118462
jgroups,7,21468,0.293692938326812,0.70912004355017,0.3868666055889042
jgroups,13,21468,0.293692938326812,0.722431558862383,0.4147286998079093
jgroups,21,21468,0.293692938326812,0.7101194590580003,0.3932165114685278
jgroups,42,21468,0.293692938326812,0.7023202353236627,0.3911493827599309
jgroups,77,21468,0.293692938326812,0.7216014713378005,0.41203242167376003
jgroups,101,21468,0.293692938326812,0.6991752659483788,0.38481859055389145
