project,condition,seed,config,rule,eps,min_pos,rate_update,mcc_avg,mcc,filter_rate,n_filtered
commons-scxml,oracle,7,quantile/q=0.3|eps=0.1|minpos=50|observed,quantile/q=0.3,0.1,50.0,observed,0.09337278821737616,0.170996428170411,0.0,0.0
commons-scxml,oracle,7,quantile/q=0.3|eps=0.1|minpos=50|suppress,quantile/q=0.3,0.1,50.0,suppress,0.09337278821737616,0.170996428170411,0.0,0.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.0|minpos=20|observed,fixed/tau=0.15,0.0,20.0,observed,0.028698682711865195,0.14439433473748575,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.0|minpos=20|suppress,fixed/tau=0.15,0.0,20.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.0|minpos=30|observed,fixed/tau=0.15,0.0,30.0,observed,0.028698682711865195,0.14439433473748575,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.0|minpos=30|suppress,fixed/tau=0.15,0.0,30.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.0|minpos=50|observed,fixed/tau=0.15,0.0,50.0,observed,0.028698682711865195,0.14439433473748575,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.0|minpos=50|suppress,fixed/tau=0.15,0.0,50.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.1|minpos=20|observed,fixed/tau=0.15,0.1,20.0,observed,0.030281019507129078,0.14128779454604726,0.23529411764705882,8.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.1|minpos=20|suppress,fixed/tau=0.15,0.1,20.0,suppress,0.029088780893750145,0.13445032761430525,0.23529411764705882,8.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.1|minpos=30|observed,fixed/tau=0.15,0.1,30.0,observed,0.030281019507129078,0.14128779454604726,0.23529411764705882,8.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.1|minpos=30|suppress,fixed/tau=0.15,0.1,30.0,suppress,0.029088780893750145,0.13445032761430525,0.23529411764705882,8.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.1|minpos=50|observed,fixed/tau=0.15,0.1,50.0,observed,0.030281019507129078,0.14128779454604726,0.23529411764705882,8.0
commons-scxml,oracle,7,fixed/tau=0.15|eps=0.1|minpos=50|suppress,fixed/tau=0.15,0.1,50.0,suppress,0.029088780893750145,0.13445032761430525,0.23529411764705882,8.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.0|minpos=20|observed,fixed/tau=0.25,0.0,20.0,observed,0.028698682711865195,0.14439433473748575,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.0|minpos=20|suppress,fixed/tau=0.25,0.0,20.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.0|minpos=30|observed,fixed/tau=0.25,0.0,30.0,observed,0.028698682711865195,0.14439433473748575,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.0|minpos=30|suppress,fixed/tau=0.25,0.0,30.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.0|minpos=50|observed,fixed/tau=0.25,0.0,50.0,observed,0.028698682711865195,0.14439433473748575,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.0|minpos=50|suppress,fixed/tau=0.25,0.0,50.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.1|minpos=20|observed,fixed/tau=0.25,0.1,20.0,observed,0.030281019507129078,0.14128779454604726,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.1|minpos=20|suppress,fixed/tau=0.25,0.1,20.0,suppress,0.031207188363809712,0.18071615887392845,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.1|minpos=30|observed,fixed/tau=0.25,0.1,30.0,observed,0.030281019507129078,0.14128779454604726,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.1|minpos=30|suppress,fixed/tau=0.25,0.1,30.0,suppress,0.031207188363809712,0.18071615887392845,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.1|minpos=50|observed,fixed/tau=0.25,0.1,50.0,observed,0.030281019507129078,0.14128779454604726,0.2647058823529412,9.0
commons-scxml,oracle,7,fixed/tau=0.25|eps=0.1|minpos=50|suppress,fixed/tau=0.25,0.1,50.0,suppress,0.031207188363809712,0.18071615887392845,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.0|minpos=20|observed,fixed/tau=0.35,0.0,20.0,observed,0.03064546953793582,0.18575767975345348,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.0|minpos=20|suppress,fixed/tau=0.35,0.0,20.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
