variant,n_false_positives,mean_gain,n_projects,spearman_rho,p_one_sided
BSZZ,6565,0.016666845222773133,18,0.7143,0.0554
MASZZ,5030,0.01289807647077212,18,0.7143,0.0554
AGSZZ,4786,0.007222096413932421,18,0.7143,0.0554
RASZZ,4531,0.0038790542462986115,18,0.7143,0.0554
RSZZ,2316,0.007446261686313932,18,0.7143,0.0554
LSZZ,1665,0.004886004567130699,18,0.7143,0.0554
