project,seed,oracle_asis_mcc,oracle_asis_gmean,oracle_imp_mcc,oracle_imp_gmean,bszz_mcc,bszz_gmean,oracle_asis_mcc_avg,oracle_asis_gmean_avg,oracle_imp_mcc_avg,oracle_imp_gmean_avg,bszz_mcc_avg,bszz_gmean_avg
ant-ivy,7,-0.008328049077056136,0.47140299605177927,-0.06502021996779872,0.38198950176061414,0.004349781924136379,0.5054240128883946,0.16527535191436443,0.5910242942440738,0.19285313417003003,0.605813394658054,0.15261081444690988,0.577088136745475
ant-ivy,13,0.04262066373076497,0.5488961326176179,-0.06734085597736737,0.3327205539131562,-0.0024288606600655132,0.49658803114936306,0.1856092218102792,0.6055434841983699,0.18331209803895696,0.5912842167382075,0.1623206166077603,0.5834613296696375
ant-ivy,21,-0.006700708284739537,0.47442760867819966,0.022079526361570918,0.5254934826687181,-0.0045388178085104414,0.49423180928677385,0.22916877474397734,0.6312977468405455,0.20481808187500955,0.6166551593030241,0.12978377885440562,0.5646988059055583
ant-ivy,42,0.057288530144700346,0.5659384015845896,-0.00717871938801851,0.4866993145249657,-0.0047865700252412635,0.4938476003961262,0.20057547442086027,0.6164532809065174,0.20297178041434466,0.6140950348418901,0.1507683063186034,0.5767410763621454
ant-ivy,77,-0.024908330900568074,0.4267801950473236,-0.05030827599508025,0.4182918983945728,-0.0033220959610051853,0.495608497228713,0.19259904897910807,0.6031344173451287,0.17246676876752073,0.5930581515879392,0.15676102994231786,0.5796825526226526
ant-ivy,101,0.06036548408726164,0.5590360973564907,-0.09999607532359803,0.359154806856573,-0.011072141317866243,0.48557589796631817,0.1698199511392554,0.5941453904941139,0.19237071023413035,0.6013970385752055,0.154558523739131,0.5821646731807758
ant-ivy,123,0.05572645689490661,0.5643669586314154,-0.0806385159741901,0.3584928232192135,-0.005915107629340646,0.4917557755067823,0.193697172248707,0.6106302282361986,0.17623549467221242,0.5924985095925273,0.15162274079823987,0.5734779736333284
ant-ivy,202,-0.001839495541174211,0.461212279351393,0.036878279651714536,0.5441886990503303,-0.004435842765415123,0.49427238354067293,0.15555132916807865,0.5836751144845262,0.1650823581473263,0.5953626219141643,0.16911124349893575,0.5863518793422662
ant-ivy,314,-0.011365556193540854,0.4691817503208435,-0.05447269798427667,0.3966504903970509,-0.004120169478692969,0.4946204911278951,0.18619337566608055,0.6045132542143667,0.14853682450279745,0.5721815609006924,0.1612195665372854,0.5853944176196879
ant-ivy,999,-0.007840523339411596,0.4735701119431862,-0.02957507456650412,0.4167007980931273,-0.0009105392406168583,0.4985805139614829,0.18346031426600512,0.6046728537494767,0.16380102369636246,0.5815161179897159,0.1510225947405722,0.5771181716084526
commons-bcel,7,0.2136881427288572,0.715179123496672,0.15477889120664487,0.6581675974895866,-0.03742985500588571,0.45996798413356343,0.17413741343222688,0.5995139479807822,0.08791735289392415,0.5524590134594181,0.17936243539566982,0.6180924976336486
commons-bcel,13,0.21392122638322603,0.7153689775363729,-0.00027058483154010986,0.4997040366815891,-0.016831085897104955,0.481849127299748,0.17332590838727163,0.5989619763960821,0.08715605076032527,0.5262454452305445,0.140563033369301,0.5873213013009715
commons-bcel,21,0.1613869885493678,0.6648586505297055,0.11980806471745166,0.6095084278235589,-0.048253870452761964,0.44760893324921336,0.17677934816035928,0.6038518171904418,0.06368976148705122,0.4862709230885767,0.17742008846124538,0.6127348908256414
commons-bcel,42,0.1719666748494693,0.6759336547212726,0.041066382564098766,0.5368751036744949,-0.031055662325835003,0.46689583477220703,0.15610373487742035,0.5854521458437382,0.006948570439206957,0.4742099709074244,0.1946686456856143,0.6322427688484238
commons-bcel,77,0.21573834444666942,0.7168406660399192,0.06834017791659511,0.5587150337762844,-0.017527603477402384,0.4812243709806035,0.1727307267398429,0.5988272475603555,0.03798832491474841,0.454132727371981,0.19836787697357247,0.6348229676729475
commons-bcel,101,0.16631251152496418,0.669027274494976,0.1301928509388421,0.6337853791876432,0.03073379727560771,0.5317037987099615,0.1759433864495772,0.6032432160445843,0.035263751295792276,0.47290700258033047,0.17164113902476935,0.6093552831329633
commons-bcel,123,0.20761675839905758,0.7101030802210577,0.004174061047269986,0.48341580434570725,0.003504739602946771,0.4986089929986232,0.16171257484657528,0.5906710464017733,0.09069699995386268,0.5576147195107654,0.18164664478442977,0.621868699596861
commons-bcel,202,0.1768474269462336,0.6775802980338871,0.10813422328197603,0.6096956293817142,-0.04790827811443622,0.44910958268609386,0.1820875572271716,0.6078964081221567,0.04622907274089251,0.5076560085948473,0.1839195992371062,0.6206438053763225
commons-bcel,314,0.1596999993504298,0.6633432210417505,0.11162961297886535,0.6040603547539437,-0.06001865569214028,0.43571312541081275,0.15008214326304467,0.5815098609751707,0.07835133441096759,0.5123774566409757,0.16151010113745046,0.5986869529524393
commons-bcel,999,0.0953733454068432,0.5926386480816702,0.038230633667631415,0.5218376006470518,-0.04657797266611098,0.4502261791397655,0.16198922628258225,0.5864993337033964,0.04334708994085991,0.506399708467369,0.1884930743502481,0.6243392719443642
commons-beanutils,7,0.06850296488655294,0.6012901272805558,0.10665126249669168,0.6827809305497907,0.08140917964871436,0.6432768481335281,0.10285098692321637,0.5415200620756639,0.13139871858526384,0.578037415510869,0.08439550935120113,0.5215686451419651
commons-beanutils,13,0.07189167600459141,0.6048418676645823,0.0656650798631108,0.5982124473832242,0.061606196328557614,0.60856549053526,0.1152768571158658,0.5461370583629283,0.11479983553010824,0.5458487108247758,0.07537830171016371,0.5257804228235435
commons-beanutils,21,0.05850565474799786,0.5841099424590726,-0.01764316883967975,0.3871712733802319,0.03593013523430437,0.5650153087601132,0.08995996182831495,0.527726200408941,0.05338559911147312,0.470028529746925,0.01118491408309725,0.4169507212361472
commons-beanutils,42,0.061474651686307905,0.5873444345500611,0.06061327900580542,0.5990844850612459,0.0345246971906069,0.55804706341448,0.08945637024984225,0.5272949214589557,0.08848992364072815,0.5329825414654581,0.06513461131459053,0.4978046192697303
commons-beanutils,77,0.07948097604427294,0.6265826336750825,0.07590916672312917,0.6008603682971696,0.02308439117701543,0.5379321926327523,0.10823925176694878,0.5512497795876267,0.08701816605492428,0.5311122508624161,0.0499345739999378,0.5110473572743973
commons-beanutils,101,0.06827251477236547,0.6010437423503618,0.10713521646458592,0.6688632691873427,0.04015267494610715,0.5703637008969873,0.10078121140030563,0.5405004436872747,0.12309807925621824,0.5683378880865183,0.08715092352478818,0.5209032436362608
commons-beanutils,123,0.08430618996568945,0.6457965514497455,0.06424897496304854,0.5760249655843708,0.04510048737235681,0.5749446201208492,0.15506431535695991,0.591264045750685,0.15051647236287588,0.5774595849690138,0.06846965231569174,0.5217795095609501
commons-beanutils,202,0.06630133209141963,0.5923832389293859,0.010887766098170104,0.4768927181596397,0.04034877466934542,0.5674545424457642,0.10910997961109131,0.5353010177185566,0.09749298747486008,0.5189546363571172,0.051833124548487874,0.4526653264006636
commons-beanutils,314,0.05506994194462298,0.5651500987531347,0.04526406362144917,0.5550158282928733,0.03325461272496966,0.5526816136362501,0.13157787878196547,0.5576188055173494,0.13337697027498255,0.5589829217507317,0.08510791501996601,0.5158423372445808
commons-beanutils,999,0.06951020856179048,0.6023597352823716,0.055138836726869984,0.5859492743556705,0.0862176278825993,0.6444422793418355,0.11084035264591602,0.5422780136984603,0.10704315268455682,0.5400378607600446,0.0379199197510845,0.44064179373572143
commons-codec,7,0.09403575701351309,0.6457550641338465,0.009966059015718983,0.44224051264325603,0.11057808130896114,0.6609157136384032,0.09455724102355113,0.5686394598605455,0.0885465271945051,0.5653869176420412,0.03764300217682465,0.523603397942868
