project,seed,model,train_label,eval_mode,regime,mcc,gmean
ant-ivy,7,ORB,RSZZ,self,prequential_latency,0.06414969882763391,0.558762469506265
ant-ivy,7,LApredict,RASZZ,oracle,naive_kfold,0.3143389681502079,0.6922777434606311
ant-ivy,7,LApredict,RASZZ,oracle,chronological,0.2189060650982903,0.6577901925844066
ant-ivy,7,JITLine,RASZZ,oracle,naive_kfold,0.21140331299998472,0.6333630260424147
ant-ivy,7,JITLine,RASZZ,oracle,chronological,0.06155584103796612,0.538913854800654
ant-ivy,7,ORB,RASZZ,oracle,prequential_latency,-0.0452187460613125,0.4315624768774721
ant-ivy,7,LApredict,RASZZ,self,naive_kfold,0.4099164446055767,0.7058364264139496
ant-ivy,7,LApredict,RASZZ,self,chronological,0.4085049496239898,0.7162344012448035
ant-ivy,7,JITLine,RASZZ,self,naive_kfold,0.5221897721049649,0.761450292736724
ant-ivy,7,JITLine,RASZZ,self,chronological,0.33643761390903154,0.6688005239464376
ant-ivy,7,ORB,RASZZ,self,prequential_latency,0.17213683552637868,0.6098409878200886
ant-ivy,13,LApredict,oracle,oracle,naive_kfold,0.3149508937455836,0.6963476065267983
ant-ivy,13,LApredict,oracle,oracle,chronological,0.22912833207527694,0.6621975463567292
ant-ivy,13,JITLine,oracle,oracle,naive_kfold,0.3299593691778822,0.7043900498999716
ant-ivy,13,JITLine,oracle,oracle,chronological,0.19283628480611817,0.6407711555991202
ant-ivy,13,ORB,oracle,oracle,prequential_latency,0.04262066373076497,0.5488961326176179
ant-ivy,13,LApredict,oracle,self,naive_kfold,0.3149508937455836,0.6963476065267983
ant-ivy,13,LApredict,oracle,self,chronological,0.22912833207527694,0.6621975463567292
ant-ivy,13,JITLine,oracle,self,naive_kfold,0.3299593691778822,0.7043900498999716
ant-ivy,13,JITLine,oracle,self,chronological,0.19283628480611817,0.6407711555991202
ant-ivy,13,ORB,oracle,self,prequential_latency,0.04262066373076497,0.5488961326176179
ant-ivy,13,LApredict,BSZZ,oracle,naive_kfold,0.3119574787144522,0.6932431026079131
ant-ivy,13,LApredict,BSZZ,oracle,chronological,0.22944468158695336,0.6671891416879415
ant-ivy,13,JITLine,BSZZ,oracle,naive_kfold,0.30860205324522616,0.6933246206604369
ant-ivy,13,JITLine,BSZZ,oracle,chronological,0.1627780621334768,0.5784709760401969
ant-ivy,13,ORB,BSZZ,oracle,prequential_latency,-0.0024288606600655132,0.49658803114936306
ant-ivy,13,LApredict,BSZZ,self,naive_kfold,0.4569126908801509,0.7313192399671966
ant-ivy,13,LApredict,BSZZ,self,chronological,0.449330478547855,0.7301549330735867
ant-ivy,13,JITLine,BSZZ,self,naive_kfold,0.48339808613601304,0.7378001177397363
