model,train_label,regime,eval_mode,mcc,mcc,mcc,gmean,gmean,gmean
,,,,mean,std,count,mean,std,count
ORB,AGSZZ,chronological_online,oracle,0.017680028786496958,0.09205303282453733,210,0.3625281593130216,0.16929823704333738,210
ORB,AGSZZ,chronological_online,self,0.06839321927693115,0.09919163529583715,210,0.39618561961619136,0.17254160754393538,210
ORB,AGSZZ,prequential_latency,oracle,0.011690510528322515,0.0983337718180468,210,0.47741869609345766,0.12346537257370035,210
ORB,AGSZZ,prequential_latency,self,0.06117405679665489,0.10358645886802935,210,0.5422261936460638,0.1224573050600545,210
ORB,BSZZ,chronological_online,oracle,0.0766589932726029,0.09302574583614036,210,0.46780177783957955,0.16649453836714964,210
ORB,BSZZ,chronological_online,self,0.16129049087267863,0.0918385301192728,210,0.520021402832638,0.11352959905660796,210
ORB,BSZZ,prequential_latency,oracle,0.056514094394679,0.09816491136759417,210,0.5342857409466515,0.13457772067491597,210
ORB,BSZZ,prequential_latency,self,0.11255702823556764,0.10478289117290544,210,0.5817562566139315,0.1015222080494797,210
ORB,LSZZ,chronological_online,oracle,0.008158284659015443,0.08850470831754047,210,0.27832294959583453,0.16665271294417286,210
ORB,LSZZ,chronological_online,self,0.06952307528338422,0.09817168039722196,210,0.3539630851734154,0.20505653526154957,210
ORB,LSZZ,prequential_latency,oracle,0.020898524559113847,0.10268297951433232,210,0.486902732886985,0.12179138028301122,210
ORB,LSZZ,prequential_latency,self,0.06817599940851721,0.07678007556444269,210,0.5872314342874891,0.13544595587207328,210
ORB,MASZZ,chronological_online,oracle,0.021645625419803756,0.08039915347329925,210,0.36425304941861936,0.18805310438421305,210
ORB,MASZZ,chronological_online,self,0.07169361179910096,0.10074049383533008,210,0.40400196086335677,0.17915428529120964,210
ORB,MASZZ,prequential_latency,oracle,-0.002972398866961887,0.10143029247315448,210,0.4547255045627305,0.12887699388436408,210
ORB,MASZZ,prequential_latency,self,0.06640292284473572,0.09757092712132696,210,0.538215553485134,0.13500374457883244,210
ORB,RASZZ,chronological_online,oracle,0.019348272287338594,0.06816201593252566,210,0.34234982583313284,0.1902424595715009,210
ORB,RASZZ,chronological_online,self,0.06733821048694909,0.0999606122708027,210,0.38995369345387837,0.19668249370298346,210
ORB,RASZZ,prequential_latency,oracle,0.019105880608764184,0.09383919749375616,210,0.4876033124750935,0.12053386765181655,210
ORB,RASZZ,prequential_latency,self,0.05586131055730284,0.09844025627303031,210,0.5423262426360215,0.11911464314993546,210
ORB,RSZZ,chronological_online,oracle,0.011413377864859072,0.10624685402145506,210,0.316623166884704,0.18074639735683434,210
ORB,RSZZ,chronological_online,self,0.034938236852298674,0.0801519356333587,210,0.3280174509840375,0.20175730357079474,210
ORB,RSZZ,prequential_latency,oracle,0.010509211717769,0.09590835803892771,210,0.4848657343096528,0.12140041133573823,210
ORB,RSZZ,prequential_latency,self,0.04744694597215597,0.06731109671201331,210,0.5474538720418193,0.08856796529065004,210
ORB,oracle,chronological_online,oracle,0.07771601051384991,0.12398384025993062,210,0.34581955812015835,0.22151774118003512,210
ORB,oracle,prequential_latency,oracle,0.06845157061127582,0.07806607268928399,210,0.5460258016186947,0.1066783955265238,210
